都道府県名,地方公共団体コード,施設コード,地方公共団体名,施設名称,年間処理量_t/年度,資源化量_資源化物回収_t/年度,資源化量_発生ガス回収_m3/年度,資源化量_生産量・搬出量の別,処理対象廃棄物_可燃ごみ,処理対象廃棄物_混合（未分別）ごみ,処理対象廃棄物_粗大ごみ,処理対象廃棄物_固形化燃料,処理対象廃棄物_その他,処理対象廃棄物_不燃ごみ,処理対象廃棄物_資源ごみ,処理対象廃棄物_ごみ処理残渣,処理対象廃棄物_し尿処理残渣,処理対象廃棄物_その他（具体的）,施設の種類,施設の種類_その他（具体的）,処理方式,炉型式,ごみ処理事業実施方式,施設全体の処理能力_t/日,炉数,使用開始年度,余熱利用の状況_場内温水,余熱利用の状況_場内蒸気,余熱利用の状況_発電（場内利用）,余熱利用の状況_場外温水,余熱利用の状況_場外蒸気,余熱利用の状況_発電（場外利用）,余熱利用の状況_その他,余熱利用の状況_無し,余熱利用量（仕様値・公称値）_余熱利用量_MJ,余熱利用量（仕様値・公称値）_うち外部熱供給量_MJ,余熱利用量（実績値）_余熱利用量_MJ,余熱利用量（実績値）_うち外部熱供給量_MJ,発電能力_発電能力_kW,発電能力_発電効率（仕様値・公称値）_％,発電能力_総発電量（実績値）_MWh,発電能力_うち外部供給量（実績値）_MWh,余剰電力利用（売電）_売電量_MWh/年,余剰電力利用（売電）_売電収入_円/年,余剰電力利用（売電）_売電価格(単価)_固定価格_円/kWh,余剰電力利用（売電）_売電価格(単価)_重負荷_円/kWh,余剰電力利用（売電）_売電価格(単価)_昼間_円/kWh,余剰電力利用（売電）_売電価格(単価)_夜間_円/kWh,契約電力会社名_（受電）,契約電力会社名_（売電）,売電において活用している制度_ＦＩＴ,売電において活用している制度_ＲＰＳ,売電において活用している制度_その他,売電において活用している制度_その他_具体的な制度名,売電の配分割合の方法_経費に充当,売電の配分割合の方法_経費に充当_充当後の分担金の計算方法,売電の配分割合の方法_経費に充当_充当後の分担金の計算方法_その他の計算方法,売電の配分割合の方法_基金に積立,売電の配分割合の方法_基金に積立_活用内容,売電の配分割合の方法_基金に積立_活用内容_その他の活用内容,売電の配分割合の方法_その他,売電の配分割合の方法_その他_具体的な方法,灰処理設備の有無_（焼却灰）_セメント固化,灰処理設備の有無_（焼却灰）_薬剤処理,灰処理設備の有無_（焼却灰）_溶融処理,灰処理設備の有無_（焼却灰）_その他,灰処理設備の有無_（焼却灰）_無し,灰処理設備の有無_（飛灰）_セメント固化,灰処理設備の有無_（飛灰）_薬剤処理,灰処理設備の有無_（飛灰）_溶融処理,灰処理設備の有無_（飛灰）_その他,灰処理設備の有無_（飛灰）_無し,運転管理体制,施設の改廃_新設（建設中）,施設の改廃_新設（新規稼働）,施設の改廃_能力変更,施設の改廃_休止,施設の改廃_廃止,施設の改廃_移管,産業廃棄物の搬入の有無,一般廃棄物の割合_％,ごみ組成分析結果（乾ベース）_合計_％,ごみ組成分析結果（乾ベース）_紙・布類_％,ごみ組成分析結果（乾ベース）_ﾋﾞﾆｰﾙ、合成樹脂、ｺﾞﾑ、皮革類_％,ごみ組成分析結果（乾ベース）_木、竹、わら類_％,ごみ組成分析結果（乾ベース）_ちゅう芥類_％,ごみ組成分析結果（乾ベース）_不燃物類_％,ごみ組成分析結果（乾ベース）_その他_％,単位容積重量_kg/m3,三成分_合計_％,三成分_水分_％,三成分_可燃分_％,三成分_灰分_％,低位発熱量_(計算値)_kJ/kg,低位発熱量_(実測値)_kJ/kg,リユース・リペアの対象品目_合計_重量_t/年度,リユース・リペアの対象品目_合計_個数_個・台等,リユース・リペアの対象品目_家具_対象,リユース・リペアの対象品目_家具_重量_t/年度,リユース・リペアの対象品目_家具_個数_個・台等,リユース・リペアの対象品目_自転車_対象,リユース・リペアの対象品目_自転車_重量_t/年度,リユース・リペアの対象品目_自転車_個数_個・台等,リユース・リペアの対象品目_衣類_対象,リユース・リペアの対象品目_衣類_重量_t/年度,リユース・リペアの対象品目_衣類_個数_個・台等,リユース・リペアの対象品目_書籍_対象,リユース・リペアの対象品目_書籍_重量_t/年度,リユース・リペアの対象品目_書籍_個数_個・台等,リユース・リペアの対象品目_家電_対象,リユース・リペアの対象品目_家電_重量_t/年度,リユース・リペアの対象品目_家電_個数_個・台等,リユース・リペアの対象品目_傘_対象,リユース・リペアの対象品目_傘_重量_t/年度,リユース・リペアの対象品目_傘_個数_個・台等,リユース・リペアの対象品目_食器_対象,リユース・リペアの対象品目_食器_重量_t/年度,リユース・リペアの対象品目_食器_個数_個・台等,リユース・リペアの対象品目_おもちゃ_対象,リユース・リペアの対象品目_おもちゃ_重量_t/年度,リユース・リペアの対象品目_おもちゃ_個数_個・台等,リユース・リペアの対象品目_その他_対象,リユース・リペアの対象品目_その他_重量_t/年度,リユース・リペアの対象品目_その他_個数_個・台等,リユース・リペア機能・内容_修理,リユース・リペア機能・内容_展示,リユース・リペア機能・内容_販売,リユース・リペア機能・内容_譲渡,リユース・リペア機能・内容_機能なし
北海道,01100,0110001,札幌市,札幌市駒岡清掃工場,114984.73,0,0,,○,,,,,,,○,,,焼却,,ストーカ式（可動）,全連続運転,DB（公設公営、運転委託）,600,2,1985,○,○,○,,○,○,,,,,158906400,73953900,4960,7.7,21145,1450,7786,109705721,,14.08,14.08,13.86,北海道電力ネットワーク㈱,ミツウロコグリーンエネルギー㈱,,○,,,,,,,,,,,,,,,○,,○,,,,委託,,,,,,,有り,100,100,51.1,25.9,4.275,17.125,1.35,0.25,140,100,46.8,50.2,3,0,9093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○
北海道,01100,0110002,札幌市,札幌市白石清掃工場,183649.34,0,0,,○,,,,,,,○,,,焼却,,ストーカ式（可動）,全連続運転,DB（公設公営、一部運転委託）,900,3,2002,○,○,○,,,,,,,,109906100,0,30000,20.8,89996,0,63967,1081313940,18.7,14.08,14.08,14.08,北海道電力ネットワーク㈱,ミツウロコグリーンエネルギー㈱,○,,,,,,,,,,,,,,,,○,,○,,,,一部委託,,,,,,,有り,100,100,39.85,16.358,5.017,38.108,0.216,0.451,140,100,44.9,51.9,3.2,0,9701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○
北海道,01100,0110003,札幌市,札幌市発寒清掃工場,136142.98,0,0,,○,,,,,,,○,,,焼却,,ストーカ式（可動）,全連続運転,DB（公設公営、直営）,600,2,1992,○,○,○,,○,○,,,,,89531600,,4960,7.8,29110,1088,,,,,,,,,,,,,,,,,,,,,,,,,○,,○,,,,直営,,,,,,,有り,100,100,45.475,26.65,6.6,18.95,1.575,0.75,100,100,50.1,46.4,3.5,0,8488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○
北海道,01100,0110689,札幌市,（仮称）札幌市新駒岡清掃工場,0,,,,○,,,,,,,○,,,焼却,,ストーカ式（可動）,全連続運転,DBO（公設民営）,600,2,2025,○,○,○,,○,○,,,170181456,137412000,0,0,16800,26.5,0,0,,,,,,,,,,,○,FIP,,,,,,,,,,,,,○,,○,,,,委託,○,,,,,,有り,,,,,,,,,,,,,,9000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○
北海道,01202,0110005,函館市,函館市日乃出清掃工場(3号炉),54681,0,,,○,,,,,,,○,○,,焼却,,ストーカ式（可動）,全連続運転,DB（公設公営、一部運転委託）,180,1,1992,○,○,○,○,,○,,,2321400,1458300,2321400,1458300,1660,9.1,12576,0,4435,61251107,,,16,12,株式会社タクマエナジー,日立造船株式会社,,,,,,,,,,,,,,,,,○,,○,,,,一部委託,,,,,,,有り,100,100,53.9,21.3,7.7,15.1,0.6,1.4,155,100,44.5,51.7,3.8,8600,9200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○
北海道,01202,0110004,函館市,函館市日乃出清掃工場(1、2号炉),26004,0,,,○,,,,,,,○,○,,焼却,,ストーカ式（可動）,全連続運転,DB（公設公営、一部運転委託）,240,2,1974,,,,,,,,○,,,,,,,,,,,,,,,日立造船株式会社,,,,,,,,,,,,,,,,,,○,,○,,,,一部委託,,,,,,,有り,100,100,53.9,21.3,7.7,15.1,0.6,1.4,155,100,44.5,51.7,3.8,8600,9200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○
北海道,01202,0110071,函館市,函館市恵山クリーンセンター焼却施設,0,0,,,○,,,,,,,○,,,焼却,,ストーカ式（可動）,バッチ運転,,17,2,1997,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,,○,,,,委託,,,,○,,,無し,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○
北海道,01204,0110006,旭川市,旭川市近文清掃工場,73404,0,0,,○,,,,,,,○,,,焼却,,ストーカ式（可動）,全連続運転,DB（公設公営、運転委託）,280,2,1996,○,○,○,,○,○,,,104129391,15259587,104761135,15608672,2100,6.63,13401,649,7402,134630655,,,16,16,北海道電力㈱,ミツウロコグリーンエネルギー㈱,,,,,,,,,,,,,,,,,○,○,,,,,一部委託,,,,,,,無し,,100,72.3,9.2,7,9.9,0,1.6,0,100,40.3,49.9,9.8,0,10236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○
北海道,01208,0110007,北見市,北見市廃棄物処理場ごみ処理施設,31123,0,,資源化物搬出量,○,,○,,,,,○,,,焼却,,流動床式,全連続運転,DB（公設公営、運転委託）,165,3,2001,○,○,○,,,○,,,,,,,1300,3,5136,0,394,6140783,,,,,株式会社SEウイングズ,北海道電力株式会社,,,○,どの制度も活用していない,,,,,,,,,,,,,○,,○,,,,委託,,,,,,,無し,,100,42,21.2,21,6.2,1.7,7.9,148,100,51.2,42.6,6.2,6763,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○
北海道,01210,0110008,岩見沢市,岩見沢じん芥処理センター(焼却施設),0,0,0,,○,,,,,,,,,,焼却,,固定床式,バッチ運転,DB（公設公営、直営）,9.6,2,1992,,,,,,,,○,,,,,,,,,,,,,,,北海道電力㈱,,,,,,,,,,,,,,,,,,○,,○,,,,直営,,,,○,,,無し,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○
