都道府県名,地方公共団体名,施設名称,年間処理量_t/年度,処理方式,炉型式,ごみ処理事業実施方式,炉数,使用開始年度,余熱利用量（仕様値・公称値）_余熱利用量_MJ,余熱利用量（仕様値・公称値）_うち外部熱供給量_MJ,余熱利用量（実績値）_余熱利用量_MJ,余熱利用量（実績値）_うち外部熱供給量_MJ,発電能力_発電能力_kW,発電能力_発電効率（仕様値・公称値）_％,発電能力_総発電量（実績値）_MWh,発電能力_うち外部供給量（実績値）_MWh,余剰電力利用（売電）_売電量_MWh/年,余剰電力利用（売電）_売電収入_円/年,余剰電力利用（売電）_売電価格(単価)_固定価格_円/kWh,余剰電力利用（売電）_売電価格(単価)_重負荷_円/kWh,余剰電力利用（売電）_売電価格(単価)_昼間_円/kWh,余剰電力利用（売電）_売電価格(単価)_夜間_円/kWh,ごみ組成分析結果（乾ベース）_合計_％,ごみ組成分析結果（乾ベース）_紙・布類_％,ごみ組成分析結果（乾ベース）_ﾋﾞﾆｰﾙ、合成樹脂、ｺﾞﾑ、皮革類_％,ごみ組成分析結果（乾ベース）_木、竹、わら類_％,ごみ組成分析結果（乾ベース）_ちゅう芥類_％,ごみ組成分析結果（乾ベース）_不燃物類_％,ごみ組成分析結果（乾ベース）_その他_％,単位容積重量_kg/m3,三成分_合計_％,三成分_水分_％,三成分_可燃分_％,三成分_灰分_％,低位発熱量_(計算値)_kJ/kg,低位発熱量_(実測値)_kJ/kg
北海道,札幌市,札幌市駒岡清掃工場,114984.73,ストーカ式（可動）,全連続運転,DB（公設公営、運転委託）,2,1985,,,158906400,73953900,4960,7.7,21145,1450,7786,109705721,,14.08,14.08,13.86,100,51.1,25.9,4.275,17.125,1.35,0.25,140,100,46.8,50.2,3,0,9093
北海道,札幌市,札幌市白石清掃工場,183649.34,ストーカ式（可動）,全連続運転,DB（公設公営、一部運転委託）,3,2002,,,109906100,0,30000,20.8,89996,0,63967,1081313940,18.7,14.08,14.08,14.08,100,39.85,16.358,5.017,38.108,0.216,0.451,140,100,44.9,51.9,3.2,0,9701
北海道,札幌市,札幌市発寒清掃工場,136142.98,ストーカ式（可動）,全連続運転,DB（公設公営、直営）,2,1992,,,89531600,,4960,7.8,29110,1088,,,,,,,100,45.475,26.65,6.6,18.95,1.575,0.75,100,100,50.1,46.4,3.5,0,8488
北海道,札幌市,（仮称）札幌市新駒岡清掃工場,0,ストーカ式（可動）,全連続運転,DBO（公設民営）,2,2025,170181456,137412000,0,0,16800,26.5,0,0,,,,,,,,,,,,,,,,,,,9000,
北海道,函館市,函館市日乃出清掃工場(3号炉),54681,ストーカ式（可動）,全連続運転,DB（公設公営、一部運転委託）,1,1992,2321400,1458300,2321400,1458300,1660,9.1,12576,0,4435,61251107,,,16,12,100,53.9,21.3,7.7,15.1,0.6,1.4,155,100,44.5,51.7,3.8,8600,9200
北海道,旭川市,旭川市近文清掃工場,73404,ストーカ式（可動）,全連続運転,DB（公設公営、運転委託）,2,1996,104129391,15259587,104761135,15608672,2100,6.63,13401,649,7402,134630655,,,16,16,100,72.3,9.2,7,9.9,0,1.6,0,100,40.3,49.9,9.8,0,10236
北海道,北見市,北見市廃棄物処理場ごみ処理施設,31123,流動床式,全連続運転,DB（公設公営、運転委託）,3,2001,,,,,1300,3,5136,0,394,6140783,,,,,100,42,21.2,21,6.2,1.7,7.9,148,100,51.2,42.6,6.2,6763,0
北海道,岩見沢市,いわみざわ環境クリーンプラザ　焼却施設,24561,ストーカ式（可動）,全連続運転,DB+O（公設民営、長期包括運営委託）,2,2015,,,,,1200,12,8007,0,3200,49876805,,,,,100,57.6,24.8,10.7,5,1.1,0.8,111.8,100,36.2,59.8,4,10330,10613
北海道,苫小牧市,苫小牧市沼ノ端クリーンセンター,48253,ストーカ式（可動）,全連続運転,DB（公設公営、運転委託）,2,1999,,,,,2000,6.8,12329,0,4333,66506790,,,20,20,100,52.1,15.3,9.4,18.1,2.9,2.2,226,100,49.3,45.1,5.6,8117,8808
北海道,江別市,江別市環境クリーンセンター,31846,その他,全連続運転,その他公設公営,2,2002,59392920,,60352805,,1980,11.36,10680,0,441,7010997,10,,,,100,53.8,31.9,7.7,4.7,1.6,0.3,132,100,39.6,54.1,6.3,9200,9450
